公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,8003992,8081068,9298656,-0.95,-13.92,85203365,108412616,-21.4,-
1102,亞泥,5547070,5901983,6499550,-6.01,-14.65,60568295,70544877,-14.14,-
1103,嘉泥,297423,321446,389030,-7.47,-23.54,2576391,3587670,-28.18,-
1104,環泥,453342,461991,484997,-1.87,-6.52,4686126,5267647,-11.03,-
1108,幸福,426840,396102,431778,7.76,-1.14,4593337,4648463,-1.18,-
1109,信大,360541,425539,484101,-15.27,-25.52,3991042,4585074,-12.95,-
1110,東泥,161982,149670,190034,8.22,-14.76,1683503,1872193,-10.07,-
1201,味全,1549255,1764637,1458861,-12.2,6.19,19507971,25177749,-22.51,-
1203,味王,568109,617683,434403,-8.02,30.77,6319705,5527306,14.33,-
1210,大成,6419347,6659811,7940092,-3.61,-19.15,72060762,83723727,-13.93,-
1213,大飲,40769,43499,41545,-6.27,-1.86,686303,657377,4.4,-
1215,卜蜂,1326141,1428897,1442996,-7.19,-8.09,15129565,15959232,-5.19,-
1216,統一,31056448,34146847,30975064,-9.05,0.26,386162825,388034263,-0.48,2015年起合資公司自比例合併法改採以權益法投資認列，為求兩期比較基礎一致，故同步調整去年同期公告之影響數。
1217,愛之味,235723,242388,230199,-2.74,2.39,4317336,4028764,7.16,愛之味104年9月17日喪失對第一生技(股)公司控制權，104年9月17日起該公司營收不納入愛之味合併營收。
1218,泰山,596740,668772,606428,-10.77,-1.59,7524428,8428563,-10.72,-
1219,福壽,851050,971412,839615,-12.39,1.36,8950324,9600933,-6.77,-
1220,台榮,286959,298229,441364,-3.77,-34.98,3015133,3271415,-7.83,-
1225,福懋油,900226,998208,1009767,-9.81,-10.84,9949924,11282044,-11.8,-
1227,佳格,1896134,1846596,1929677,2.68,-1.73,22976578,19471874,17.99,-
1229,聯華,454025,454724,464011,-0.15,-2.15,4836755,4844678,-0.16,-
1231,聯華食,458240,490125,453490,-6.5,1.04,5841390,5310175,10.0,-
1232,大統益,1434075,1420021,1714231,0.98,-16.34,16220186,19907980,-18.52,-
1233,天仁,194491,167475,186650,16.13,4.2,1964949,1966676,-0.08,-
1234,黑松,466030,449101,378083,3.76,23.26,5745259,5539690,3.71,-
1235,興泰,7826,11900,7822,-34.23,0.05,97762,165808,-41.03,-
1236,宏亞,159281,178990,185684,-11.01,-14.21,2034325,2105237,-3.36,-
1702,南僑,1275104,1283879,1211243,-0.68,5.27,14032484,13469221,4.18,-
1737,臺鹽,209149,241652,202217,-13.45,3.42,2547933,2372066,7.41,-
1301,台塑,14403782,16590594,16586247,-13.18,-13.15,176694082,199985574,-11.64,-
1303,南亞,21968822,23180126,25919633,-5.22,-15.24,278003139,297705621,-6.61,-
1304,台聚,4191198,4482674,4399069,-6.5,-4.72,48257628,55523131,-13.08,-
1305,華夏,1180349,1324146,1046003,-10.85,12.84,12814458,13564850,-5.53,-
1307,三芳,900403,1077904,900011,-16.46,0.04,10455762,10333164,1.18,-
1308,亞聚,476983,460185,388860,3.65,22.66,4659282,5195092,-10.31,-
1309,台達化,1220567,1265175,1620478,-3.52,-24.67,15678551,19297138,-18.75,-
1310,台苯,1174071,1106135,1052038,6.14,11.59,12046861,16637424,-27.59,-
1312,國喬,1598969,1218082,1948182,31.26,-17.92,18572064,22762281,-18.4,-
1313,聯成,3320514,3310465,4373900,0.3,-24.08,40139408,48690152,-17.56,-
1314,中石化,1483775,1368586,2177239,8.41,-31.85,24332734,30737863,-20.83,-
1315,達新,223720,216836,267991,3.17,-16.51,2513379,2750516,-8.62,-
1321,大洋,279925,347681,362865,-19.48,-22.85,4278793,4983519,-14.14,-
1323,永裕,279173,280440,291663,-0.45,-4.28,2832578,3131970,-9.55,-
1324,地球,104036,96133,112936,8.22,-7.88,1171001,1331596,-12.06,-
1325,恆大,92238,99153,133253,-6.97,-30.77,1001865,1067967,-6.18,-
1326,台化,26580556,25918870,30757673,2.55,-13.58,303178330,372131767,-18.52,-
4306,炎洲,1424751,1546744,1615963,-7.88,-11.83,16363588,18349434,-10.82,-
1402,遠東新,17718060,19789494,18963914,-10.46,-6.56,198073073,214394604,-7.61,-
1409,新纖,3075271,3120400,3203026,-1.44,-3.98,33803206,38874294,-13.04,-
1410,南染,51264,50564,45790,1.38,11.95,577928,582600,-0.8,-
1413,宏洲,205166,203268,261885,0.93,-21.65,2325408,3270444,-28.89,-
1414,東和,74990,64563,85339,16.15,-12.12,987629,1200556,-17.73,-
1417,嘉裕,354965,299409,265236,18.55,33.82,3289718,2962477,11.04,-
1418,東華,130478,95740,142808,36.28,-8.63,1268157,1864832,-31.99,-
1419,新紡,116178,130292,92443,-10.83,25.67,1022119,1055158,-3.13,-
1423,利華,37672,73042,45285,-48.42,-16.81,599928,633823,-5.34,-
1434,福懋,3195854,3460114,3609443,-7.63,-11.45,39548399,44527195,-11.18,-
1439,中和,38187,37974,37048,0.56,3.07,342587,376574,-9.02,-
1440,南紡,1671225,1567007,1787812,6.65,-6.52,19910281,18954381,5.04,-
1441,大東,133207,156248,162333,-14.74,-17.94,1701322,1473566,15.45,-
1443,立益,122487,99634,106307,22.93,15.22,1206767,1629682,-25.95,-
1444,力麗,814150,858652,966469,-5.18,-15.76,9558835,10598066,-9.8,-
