公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,1913600,2047477,2041524,-6.53,-6.26,11561433,11983419,-3.52
1102,亞泥,874779,869195,867762,0.64,0.8,5574049,5078857,9.75
1103,嘉泥,107080,111138,26530,-3.65,303.61,620146,600262,3.31
1104,環球水泥,223963,286857,272765,-21.92,-17.89,1650620,1659645,-0.54
1108,幸福水泥,261528,300290,241100,-12.9,8.47,1593406,1552623,2.62
1109,信大水泥,131920,153820,135569,-14.23,-2.69,842863,747799,12.71
1110,東泥,99248,124122,129529,-20.03,-23.37,723655,721693,0.27
1201,味全公司,1323666,1349332,1179454,-1.9,12.22,7262630,6631551,9.51
1203,味王公司,166799,157509,137763,5.89,21.07,969189,997598,-2.84
1210,大成長城,1795554,1827003,1636893,-1.72,9.69,11156004,11064686,0.82
1213,大飲,58124,56766,66172,2.39,-12.16,334382,315085,6.12
1215,卜蜂企業,1193040,1148855,1128987,3.84,5.67,7177608,7116750,0.85
1216,統一,4012985,3988941,4493538,0.6,-10.69,22932124,25362533,-9.58
1217,愛之味,336132,225994,265414,48.73,26.64,1460659,1453625,0.48
1218,泰山企業,649803,646109,583749,0.57,11.31,3692031,3548374,4.04
1219,福壽實業,865219,761385,803544,13.63,7.67,4791347,4644387,3.16
1220,台榮,278796,288568,265366,-3.38,5.06,1464166,1444162,1.38
1225,福懋油,815853,857723,761770,-4.88,7.09,4912009,4557632,7.77
1227,佳格,911580,979930,861812,-6.97,5.77,5875271,6130840,-4.16
1229,聯華實業,305939,326907,337241,-6.41,-9.28,1911443,2027599,-5.72
1231,聯華食品,412767,448812,466280,-8.03,-11.47,2569836,2586107,-0.62
1232,大統益,1347892,1314375,1332696,2.55,1.14,7971160,8195581,-2.73
1233,天仁,152903,198405,170335,-22.93,-10.23,1020375,1016869,0.34
1234,黑松,351972,480390,509363,-26.73,-30.89,2640375,2770943,-4.71
1235,興泰,23848,32115,26368,-25.74,-9.55,164963,162424,1.56
1236,宏亞食品,133126,142236,125899,-6.4,5.74,942907,1111210,-15.14
1702,南僑化工,177868,210030,173398,-15.31,2.57,1164810,1124380,3.59
1737,臺鹽,196474,229356,173860,-14.33,13.0,1151143,1220136,-5.65
1301,台塑,12350718,14041266,13830494,-12.03,-10.69,88786456,100985120,-12.07
1303,南亞塑膠,14556326,14065367,11686993,3.49,24.55,91661003,105805521,-13.36
1304,台聚,762508,940832,980455,-18.95,-22.22,5872223,6843824,-14.19
1305,華夏,663584,586110,837574,13.21,-20.77,3991153,4982925,-19.9
1307,三芳化工,488604,564530,525643,-13.44,-7.04,3431886,3485797,-1.54
1308,亞聚,384323,310448,487877,23.79,-21.22,2484389,3608931,-31.15
1309,台達化工,892819,926527,902614,-3.63,-1.08,5154129,5768176,-10.64
1310,台苯,829503,1188006,1038697,-30.17,-20.14,6760217,6655572,1.57
1312,國喬石化,1395819,1418611,1579343,-1.6,-11.62,8659185,9721394,-10.92
1313,聯成,560171,537165,600001,4.28,-6.63,3682873,3815612,-3.47
1314,中石化,2299255,2759065,3992505,-16.66,-42.41,18329413,21131884,-13.26
1315,達新工業,233546,167776,217077,39.2,7.58,1132212,1163636,-2.7
1319,東陽,1029158,1104705,985404,-6.83,4.44,6270462,6254346,0.25
1321,大洋,365955,390899,428809,-6.38,-14.65,2355878,2683231,-12.19
1323,永裕,149227,137814,145218,8.28,2.76,843706,820695,2.8
1324,地球工業,83433,110635,122632,-24.58,-31.96,629132,784049,-19.75
1325,�琱j,71557,76600,78674,-6.58,-9.04,424389,573173,-25.95
1326,台化,20604264,25054900,21255146,-17.76,-3.06,151568258,153014029,-0.94
1339,昭輝,95979,88840,93975,8.03,2.13,545999,551979,-1.08
1715,萬洲化學,439945,474512,359819,-7.28,22.26,2647116,2131639,24.18
4306,炎洲,384869,512582,444946,-24.91,-13.5,2911532,2732921,6.53
1402,遠東新,4983765,5547891,5181151,-10.16,-3.8,31159369,31438972,-0.88
1409,新纖,2183928,2119873,2469003,3.02,-11.54,13345064,14104929,-5.38
1410,南染,32232,35786,34250,-9.93,-5.89,171499,184462,-7.02
1413,宏洲纖維,254791,342947,359434,-25.7,-29.11,2075565,2381554,-12.84
1414,東和,103860,132523,93157,-21.62,11.48,738210,608257,21.36
1416,廣豐,29725,11340,15736,162.12,88.89,123983,82179,50.86
1417,嘉裕,163704,166475,106787,-1.66,53.29,983025,596991,64.66
1418,東華,62170,89854,120369,-30.8,-48.35,1268554,1600610,-20.74
1419,新紡,48263,51262,50694,-5.85,-4.79,390510,388072,0.62
1423,利華羊毛,101082,115491,151665,-12.47,-33.35,643010,846688,-24.05
1432,大魯閣,694,802,949,-13.46,-26.87,7005,8737,-19.82
1434,福懋興業,2886172,3107909,3097433,-7.13,-6.82,18054085,18596119,-2.91
1439,中和羊毛,60906,78312,60351,-22.22,0.91,399236,282924,41.11
1440,南紡,1292687,1356091,1296824,-4.67,-0.31,7840220,8838019,-11.28
1441,大東紡織,112967,115405,122575,-2.11,-7.83,746757,971234,-23.11
1443,立益紡織,64388,117470,46722,-45.18,37.81,472992,562816,-15.95
1444,力麗,859185,1034674,1117985,-16.96,-23.14,6260803,6749096,-7.23
1445,大宇紡織,151444,180215,197957,-15.96,-23.49,1044951,1153275,-9.39
1446,宏和,29376,27686,44451,6.1,-33.91,171896,386428,-55.51
1447,力鵬,1764258,2358604,2173134,-25.19,-18.81,12514224,11830006,5.78
1449,佳和實業,175531,186665,201678,-5.96,-12.96,1044173,1136743,-8.14
1451,年興紡織,1105328,1046033,976761,5.66,13.16,5481828,5588114,-1.9
1452,宏益,163521,187332,190948,-12.71,-14.36,1058202,1190412,-11.1
1453,大將,78499,17877,4406,339.1,1681.63,195518,160742,21.63
1454,台富,167036,181453,224709,-7.94,-25.66,1121441,1395569,-19.64
1455,集盛,1161801,1500703,1594329,-22.58,-27.12,8688449,9287000,-6.44
1456,怡華,143242,174830,178974,-18.06,-19.96,1022442,1130366,-9.54
1457,宜進,338385,397176,459665,-14.8,-26.38,2495650,3232476,-22.79
1459,聯發紡織,196365,272599,156891,-27.96,25.16,1533801,1329970,15.32
1460,宏遠,411140,532457,428750,-22.78,-4.1,3202530,2856966,12.09
1463,強盛染整,38961,40338,39754,-3.41,-1.99,222567,294329,-24.38
1464,得力實業,164444,191565,172800,-14.15,-4.83,1041962,918965,13.38
1465,偉全實業,125700,156423,211198,-19.64,-40.48,789941,948597,-16.72
1466,聚隆,383543,482795,488494,-20.55,-21.48,2768673,2877952,-3.79
1467,南緯實業,256876,195214,317893,31.58,-19.19,1446951,1584451,-8.67
1468,昶和纖維,37302,37945,73353,-1.69,-49.14,299867,424921,-29.42
1469,理隆纖維,83998,82801,106390,1.44,-21.04,337614,503526,-32.95
1470,大統染,50918,64582,63178,-21.15,-19.4,362549,457781,-20.8
1472,三洋紡,67363,36496,119850,84.57,-43.79,284675,708557,-59.82
1473,台南企業,556736,510196,541140,9.12,2.88,3856597,3737015,3.19
1474,弘裕,256463,259151,295409,-1.03,-13.18,1501615,1981785,-24.22
1475,本盟光電,29657,24420,34710,21.44,-14.55,130383,247839,-47.39
1476,儒鴻,1026231,816196,872619,25.73,17.6,5580024,4538747,22.94
1477,聚陽實業,979710,938735,880991,4.36,11.2,7199751,6621195,8.73
4414,如興,236553,238063,190179,-0.63,24.38,1130425,1373037,-17.66
4426,利勤實業,76981,92489,41448,-16.76,85.72,447005,264914,68.73
1503,士電,1522282,1342158,1386838,13.42,9.76,7966188,7932548,0.42
1504,東元電機,2220603,2207474,2308527,0.59,-3.8,12922427,12470914,3.62
1506,正道,75129,96709,88952,-22.31,-15.53,530184,493299,7.47
1507,永大機電,392192,325731,301424,20.4,30.11,1996293,1857149,7.49
1512,瑞利,202767,175763,209127,15.36,-3.04,1140976,1291858,-11.67
1513,中興電,681524,545184,1180827,25.0,-42.28,3779881,3860735,-2.09
1514,亞力電機,352291,326800,346943,7.8,1.54,1758316,1596527,10.13
1515,力山,216526,243890,203296,-11.21,6.5,1521990,1091634,39.42
1517,利奇機械,182631,173047,175136,5.53,4.27,1142967,951104,20.17
1519,華城電機,303656,560534,618473,-45.82,-50.9,1488346,2194262,-32.17
1521,大億,380878,379027,300460,0.48,26.76,2161108,1941272,11.32
1522,堤維西,726214,776053,750059,-6.42,-3.17,4358727,4115091,5.92
1524,耿鼎企業,226697,235887,239969,-3.89,-5.53,1379618,1545427,-10.72
1525,江申工業,126750,142171,116798,-10.84,8.52,721373,661771,9.0
1526,日馳,55093,55331,66234,-0.43,-16.82,293041,317669,-7.75
1527,鑽全,220377,242814,243068,-9.24,-9.33,1411537,1389845,1.56
1528,恩德,239574,211731,301814,13.15,-20.62,1288972,1421014,-9.29
1529,樂士,4434,5986,4198,-25.92,5.62,40741,54688,-25.5
1530,亞崴機電,439934,313284,258060,40.42,70.47,1746203,1391152,25.52
1531,高林股,185128,181632,340944,1.92,-45.7,1047275,2126337,-50.74
1533,車王電,98316,120589,110450,-18.47,-10.98,671217,717616,-6.46
1535,中宇,840878,790041,792542,6.43,6.09,4494288,3947858,13.84
1536,和大工業,275660,287359,212780,-4.07,29.55,1695250,1240113,36.7
1537,廣隆光電,452667,427532,325247,5.87,39.17,2283308,1896692,20.38
1538,正峰新,64398,75143,72225,-14.29,-10.83,413325,487742,-15.25
1539,巨庭機械,99464,124979,100445,-20.41,-0.97,688063,551874,24.67
1540,喬福機械,129203,135688,96996,-4.77,33.2,754997,560825,34.62
1541,錩泰,79532,110799,66736,-28.21,19.17,712353,433521,64.31
1558,伸興,403788,392375,472146,2.9,-14.47,2241279,1913194,17.14
1560,中砂,335659,335241,362473,0.12,-7.39,1896424,1961890,-3.33
1568,倉佑,111690,121879,121989,-8.35,-8.44,729222,656183,11.13
1583,程泰,322308,246169,254656,30.92,26.56,1571675,1103635,42.4
2049,上銀科技,1011668,1003938,1259024,0.76,-19.64,5309625,6415246,-17.23
2228,劍麟,105522,130065,155517,-18.86,-32.14,785058,755236,3.94
2231,為升,106162,105329,80974,0.79,31.1,574901,502671,14.36
2371,大同,2638070,2917048,3304841,-9.56,-20.17,16945657,19274331,-12.08
3167,大量科技,305703,346432,218418,-11.75,39.96,1213373,758627,59.94
4526,東台,325719,397028,758416,-17.96,-57.05,2148161,3423410,-37.25
4532,瑞智精密,649447,672935,519947,-3.49,24.9,3492146,2714386,28.65
6605,帝寶工業,734659,905415,870335,-18.85,-15.58,4891047,5154613,-5.11
8222,寶一科技,48766,45477,46696,7.23,4.43,357003,309908,15.19
8374,羅昇,145786,155213,154871,-6.07,-5.86,726546,859499,-15.46
8996,高力,150814,133424,143994,13.03,4.73,761341,596049,27.73
1603,華電,221211,204083,253229,8.39,-12.64,1384699,1381525,0.22
1604,聲寶,1121239,1041202,1046482,7.68,7.14,5688487,4661498,22.03
1605,華新,5818025,6223717,6102858,-6.51,-4.66,36091376,39032359,-7.53
1608,華榮,783375,890021,683095,-11.98,14.68,5113713,4752502,7.6
1609,大亞電線,978305,889959,787308,9.92,24.25,4795582,4407200,8.81
1611,中電,609063,631784,578602,-3.59,5.26,3496762,3229146,8.28
1612,宏泰,573562,333503,436908,71.98,31.27,2843724,3011915,-5.58
1613,台一,493654,483265,614568,2.14,-19.67,2933307,3181340,-7.79
1614,三洋電,588591,583786,781126,0.82,-24.64,3929708,3419291,14.92
1615,大山,487566,293829,421325,65.93,15.72,2056056,2060122,-0.19
1616,億泰,305278,263018,420717,16.06,-27.43,1643005,2091330,-21.43
1617,榮星電線,285212,327195,393431,-12.83,-27.5,1947210,2648827,-26.48
1618,合機公司,395482,468341,287646,-15.55,37.48,1880227,1692149,11.11
4930,燦星網通,51049,61061,47146,-16.39,8.27,363685,404844,-10.16
1316,上曜,1453,36850,15454,-96.05,-90.59,130722,93983,39.09
1704,榮化,2497678,2492960,2308381,0.18,8.2,14253114,15694274,-9.18
1708,東鹼,252711,253159,220060,-0.17,14.83,1559782,1305821,19.44
1709,和益化工,729293,919189,868480,-20.65,-16.02,5342091,5450585,-1.99
1710,東聯,888765,1071961,1176698,-17.08,-24.46,6393555,7052682,-9.34
1711,永光化學,510668,578233,457101,-11.68,11.71,3199633,2889894,10.71
1712,興農,807500,720894,630381,12.01,28.09,3941896,3576931,10.2
1713,國化,51224,59991,40475,-14.61,26.55,317453,290605,9.23
1714,和桐化學,1093017,1036918,853096,5.41,28.12,7117856,6475366,9.92
1717,長興材料,1342835,1479925,1490341,-9.26,-9.89,8362161,9397447,-11.01
1718,中纖,1072941,1531361,1294659,-29.93,-17.12,8262892,8836120,-6.48
1721,三晃,123921,114820,138730,7.92,-10.67,743962,864105,-13.9
1722,台肥,1301654,1109636,1301784,17.3,-0.0,8406886,8045906,4.48
1723,中碳,697026,825011,663321,-15.51,5.08,4454734,4636465,-3.91
1724,台硝,198695,195514,223205,1.62,-10.98,1115169,1271898,-12.32
1725,元禎,602138,725804,732751,-17.03,-17.82,4551520,5014955,-9.24
1726,永記造漆,557695,572692,504707,-2.61,10.49,3232675,3095797,4.42
1727,中華化學,190281,194507,193951,-2.17,-1.89,1057810,1011485,4.57
1730,花仙子,89603,87384,84527,2.53,6.0,548821,487195,12.64
1732,毛寶,54926,61658,57098,-10.91,-3.8,349655,381428,-8.33
1735,日勝化,125590,158068,134129,-20.54,-6.36,942925,1018800,-7.44
1773,勝一化工,540358,553505,512190,-2.37,5.49,3346214,3359771,-0.4
4720,德淵企業,132790,143714,120090,-7.6,10.57,796349,752838,5.77
4722,國精化學,343296,363955,240170,-5.67,42.93,2027148,1457527,39.08
4725,信昌化,1982004,2123957,2457982,-6.68,-19.36,12701950,14392514,-11.74
4733,上緯企業,106872,168565,153820,-36.59,-30.52,918000,898263,2.19
1701,中化,245647,240523,298899,2.13,-17.81,1412680,1531789,-7.77
1707,葡萄王,243251,248511,188607,-2.11,28.97,1360719,1195375,13.83
1720,生達化學,159862,193610,170496,-17.43,-6.23,1083817,1030846,5.13
1729,必翔實業,177019,174895,117286,1.21,50.92,669895,584713,14.56
1731,美吾華,160537,176983,174289,-9.29,-7.89,1059550,1157122,-8.43
1733,五鼎,165232,184333,165573,-10.36,-0.2,1087949,842905,29.07
1734,杏輝藥品,165244,163445,119227,1.1,38.59,867567,793852,9.28
1736,喬山健康,411359,475773,564886,-13.53,-27.17,3326060,3053972,8.9
1762,中化合成,122812,146356,90689,-16.08,35.42,699517,566446,23.49
1783,和康生技,20545,24425,12966,-15.88,58.45,116546,94559,23.25
1786,科妍,15045,13406,10894,12.22,38.1,70778,61281,15.49
1789,台灣神隆,301463,349399,324968,-13.71,-7.23,1874770,1758928,6.58
3164,景岳生技,23568,12417,13119,89.8,79.64,80226,98835,-18.82
3705,永信,37353,55572,44328,-32.78,-15.73,282738,314160,-10.0
4104,佳醫,263468,267092,249500,-1.35,5.59,1545526,1575898,-1.92
4106,雃博,96151,152076,127389,-36.77,-24.52,686689,758187,-9.43
4108,懷特,14813,20308,11980,-27.05,23.64,81443,63320,28.62
4119,旭富製藥,79168,108718,81327,-27.18,-2.65,640009,513689,24.59
4133,亞諾法,39074,37678,37508,3.7,4.17,230835,240169,-3.88
4142,國光生技,39931,31436,23021,27.02,73.45,146839,132669,10.68
4164,承業醫,49297,70065,33527,-29.64,47.03,202975,225391,-9.94
4737,華廣,117289,121850,101595,-3.74,15.44,677310,609941,11.04
4746,台耀,185723,206935,154847,-10.25,19.93,1261211,1191299,5.86
1802,台玻,1099625,1282158,1244646,-14.23,-11.65,6836237,7480518,-8.61
1806,冠軍,294073,274157,254143,7.26,15.71,1558617,1350072,15.44
1809,中釉,138828,157526,145933,-11.86,-4.86,853920,749197,13.97
1810,和成,241680,233886,253277,3.33,-4.57,1396706,1426262,-2.07
1817,凱撒衛浴,81441,79193,68660,2.83,18.61,413061,420262,-1.71
1902,台紙,321071,325830,379758,-1.46,-15.45,2084719,2535554,-17.78
1903,士紙,190139,225368,219217,-15.63,-13.26,1046651,1191608,-12.16
1904,正隆,2137346,2203449,1877101,-2.99,13.86,12568605,11645248,7.92
1905,華紙,452068,559890,520177,-19.25,-13.09,3186346,3325873,-4.19
1906,寶隆,39754,28276,41264,40.59,-3.65,189893,170715,11.23
1907,永豐餘,1364583,1521063,1518894,-10.28,-10.15,8567496,9126070,-6.12
1909,榮成,526544,572676,582163,-8.05,-9.55,3166270,3461613,-8.53
1532,勤美,375092,440669,400321,-14.88,-6.3,2536514,2318725,9.39
2002,中鋼,17517818,20091460,21355208,-12.8,-17.96,110675420,120134316,-7.87
2006,東和鋼鐵,2763403,3427613,2634117,-19.37,4.9,19593686,19437010,0.8
2007,燁興公司,738659,843654,798905,-12.44,-7.54,4402248,6038164,-27.09
2008,高興昌,91907,185271,401781,-50.39,-77.12,1623598,2834048,-42.71
2009,第一伸銅,365880,408307,429708,-10.39,-14.85,2186978,3067858,-28.71
2010,春源鋼鐵,1561851,1680852,1568700,-7.07,-0.43,9378722,8541114,9.8
2012,春雨,341661,378624,365839,-9.76,-6.6,2018242,2382814,-15.3
2013,中鋼構,1230336,1072461,1406961,14.72,-12.55,7061784,6303261,12.03
2014,中鴻,3171964,3729235,2939140,-14.94,7.92,22759515,23333056,-2.45
2015,豐興鋼鐵,2637953,3395418,3363978,-22.3,-21.58,18382511,19089991,-3.7
2017,官田鋼,501518,498082,537782,0.68,-6.74,3020391,3328712,-9.26
2020,美亞鋼管,372418,456966,423424,-18.5,-12.04,2521775,2761974,-8.69
2022,聚亨,223676,242560,178988,-7.78,24.96,1420015,1474881,-3.72
2023,燁輝,2323312,2440386,2628955,-4.79,-11.62,14300562,17186934,-16.79
2024,志聯工業,123371,152693,158792,-19.2,-22.3,855215,1109903,-22.94
2025,千興,230389,281512,394211,-18.16,-41.55,1463280,4116375,-64.45
2027,大成鋼,773495,857362,1338879,-9.78,-42.22,4800078,5761464,-16.68
2028,威致鋼鐵,576679,760313,826175,-24.15,-30.19,5104139,5735960,-11.01
2029,盛餘,1301501,1385952,1382413,-6.09,-5.85,8436097,9071790,-7.0
2030,彰源,1131402,1171082,1186343,-3.38,-4.63,6749142,7814257,-13.63
2031,新光鋼,685501,554378,575403,23.65,19.13,3676743,3798500,-3.2
2032,新鋼工業,331369,372850,392803,-11.12,-15.63,2091999,2530787,-17.33
2033,佳大世界,85308,103530,85481,-17.6,-0.2,559028,552355,1.2
2034,允強,1928943,1923413,2599239,0.28,-25.78,12771948,13605686,-6.12
2038,海光企業,1012711,1225358,1114249,-17.35,-9.11,6869241,7297679,-5.87
3004,豐達科技,161885,66871,130463,142.08,24.08,627276,438527,43.04
5007,三星科技,450139,501420,540661,-10.22,-16.74,2713254,3069275,-11.59
9958,世紀鋼構,441124,532464,136398,-17.15,223.4,1793327,963138,86.19
2101,南港輪胎,540168,617783,530205,-12.56,1.87,3396935,3108398,9.28
2102,泰豐輪胎,461681,577205,640870,-20.01,-27.96,3030606,3576944,-15.27
2103,台橡,1781604,1574258,1965801,13.17,-9.37,9073528,10198528,-11.03
2104,中橡,547052,541679,534315,0.99,2.38,3128421,2909988,7.5
2105,正新,2473352,2285436,2293302,8.22,7.85,12796756,11713513,9.24
2106,建大,583483,652123,552003,-10.52,5.7,3411388,3091599,10.34
2107,厚生,843299,275410,342110,206.19,146.49,1753881,2190277,-19.92
2108,南帝化工,413293,520338,629649,-20.57,-34.36,2932402,3276045,-10.48
2109,華豐橡膠,181264,233007,231947,-22.2,-21.85,1216899,1256591,-3.15
2114,鑫永銓,197562,198306,150724,-0.37,31.07,1065221,1007301,5.75
2201,裕隆汽車,2850951,2833631,3369447,0.61,-15.38,20280475,20697927,-2.01
2204,中華汽車,3541167,3028306,3396326,16.93,4.26,19628190,19743592,-0.58
2206,三陽工業,2073897,2176541,2306848,-4.71,-10.09,11926339,12321926,-3.21
2207,和泰汽車,7854027,8755831,6308899,-10.29,24.49,46186597,39740988,16.21
2227,裕隆日產,2536064,2348595,3122970,7.98,-18.79,17351115,16480733,5.28
1437,勤益投控,74462,77349,107577,-3.73,-30.78,455044,683691,-33.44
2302,麗正,28240,34988,25286,-19.28,11.68,170330,169714,0.36
2303,聯電,9289147,9206251,9185722,0.9,1.12,51385287,56267539,-8.67
2311,日月光,6145238,6280589,5628340,-2.15,9.18,34587066,33931791,1.93
2325,矽品,4761774,5080677,4700507,-6.27,1.3,28714100,26832100,7.01
2329,華泰電子,841826,855973,856803,-1.65,-1.74,5205908,5073013,2.61
2330,台積電,42869733,43623222,35653939,-1.72,20.23,230749282,210393773,9.67
2337,旺宏,1948736,2047817,2049822,-4.83,-4.93,10884036,12885265,-15.53
2338,光罩,148522,147586,153513,0.63,-3.25,841388,935877,-10.09
2342,茂矽,207360,223633,414678,-7.27,-49.99,1129224,2085284,-45.84
2344,華邦電,2278399,2277685,2327692,0.03,-2.11,12604575,14579236,-13.54
2351,順德,657885,651223,735676,1.02,-10.57,3426553,4116956,-16.76
2363,矽統科技,29943,27969,160499,7.05,-81.34,140132,994851,-85.91
2369,菱生,516240,579765,514991,-10.95,0.24,2919298,3143184,-7.12
2379,瑞昱,1996080,2335405,1933315,-14.52,3.24,11935917,11728267,1.77
2388,威盛電子,250188,300473,336027,-16.73,-25.54,1775079,2384971,-25.57
2401,凌陽科技,204578,299502,271754,-31.69,-24.71,1599184,2068573,-22.69
2408,南亞科,3270864,3421027,3112401,-4.38,5.09,18899713,22200475,-14.86
2434,統懋,37742,44054,71679,-14.32,-47.34,231877,405002,-42.74
2436,偉詮電,165368,178598,172567,-7.4,-4.17,979159,1067214,-8.25
2441,超豐電子,887443,884941,789390,0.28,12.42,4633546,4719661,-1.82
2449,京元電,1075015,1050306,922188,2.35,16.57,5857257,5760215,1.68
2451,創見資訊,2253726,2049888,2368909,9.94,-4.86,12035853,14476900,-16.86
2454,聯發科,4971679,4528036,3976841,9.79,25.01,25729855,24711015,4.12
2458,義隆,680443,642270,470747,5.94,44.54,3342460,2612953,27.91
2481,強茂,491855,424865,509852,15.76,-3.52,2504724,2752213,-8.99
3006,晶豪科技,385700,426010,339759,-9.46,13.52,2577258,3166880,-18.61
3014,聯陽,302696,333899,331612,-9.34,-8.71,1889594,2079400,-9.12
3016,嘉晶,63731,59901,74700,6.39,-14.68,301386,503175,-40.1
3034,聯詠,2902617,2857381,3083949,1.58,-5.87,16073914,17709311,-9.23
3035,智原,653649,650593,475072,0.46,37.58,3695521,2663409,38.75
3041,揚智,385101,346871,273128,11.02,40.99,2636289,1625855,62.14
3054,萬國科技,207255,333492,103948,-37.85,99.38,1575948,567943,177.48
3094,聯傑國際,30330,30938,30277,-1.96,0.17,178290,183455,-2.81
3189,景碩科技,1423562,1554395,1406849,-8.41,1.18,8656934,7874364,9.93
3257,虹冠電,50164,50130,49359,0.06,1.63,258857,276701,-6.44
3443,創意電子,645201,777904,783384,-17.05,-17.63,3864272,4232978,-8.71
3474,華亞科,3272401,3291718,3288390,-0.58,-0.48,17489139,19743149,-11.41
3519,綠能,943231,985373,1460572,-4.27,-35.42,5679359,11699385,-51.45
3532,台勝科,779791,793285,796752,-1.7,-2.12,4492462,4813375,-6.66
3545,敦泰,321691,327629,306676,-1.81,4.89,1743174,2239873,-22.17
3559,全智科,93484,95113,89810,-1.71,4.09,534815,529767,0.95
3579,尚志,39572,44421,55296,-10.91,-28.43,226071,373429,-39.46
3583,辛耘,177060,103546,65673,70.99,169.6,686216,519772,32.02
3588,通嘉,92125,100647,75087,-8.46,22.69,537880,503946,6.73
3598,奕力,885426,815649,545913,8.55,62.19,4556089,3659443,24.5
3686,達能,105687,102137,264620,3.47,-60.06,602985,2717534,-77.81
4919,新唐科技,714803,731802,682729,-2.32,4.69,3755326,3734821,0.54
4952,凌通科技,330660,309164,366729,6.95,-9.83,1372401,1808038,-24.09
5269,祥碩科技,139528,161501,121275,-13.6,15.05,894366,744990,20.05
