公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1432,大魯閣,121678,90304,17529,34.74,594.15,385906,115478,234.18,1.104/7月及105/5月起各增加一個購物中心至105營收增加2.104年度營收與原公告數不同係因配合會計師核閱調整所致。
2601,益航,590832,631156,661351,-6.38,-10.66,3968437,4470349,-11.22,-
2614,東森,882575,796237,871641,10.84,1.25,5257862,5573189,-5.65,合併營收較同期減少:主要係航運事業部船舶艘數營運數量減少所致。
2901,欣欣,11640,11228,11155,3.66,4.34,65480,67939,-3.61,-
2903,遠百,3099861,3365499,3153529,-7.89,-1.7,20938994,21387407,-2.09,-
2905,三商,17361189,12177898,12078148,42.56,43.74,104014151,99018170,5.04,-
2906,高林,745983,421053,545129,77.17,36.84,2941483,2854428,3.04,-
2908,特力,3013105,2915977,3108997,3.33,-3.08,18399539,18623345,-1.2,-
2910,統領,44849,50810,47193,-11.73,-4.96,323174,318206,1.56,-
2911,麗嬰房,495568,585803,554414,-15.4,-10.61,4110807,4544739,-9.54,-
2912,統一超,18272722,18521233,17722925,-1.34,3.1,105750988,99639905,6.13,-
2913,農林,79026,78938,89199,0.11,-11.4,402819,554454,-27.34,104/6開始減少1間子公司營收合併
2915,潤泰全,877614,522810,905281,67.86,-3.05,4504122,4559061,-1.2,-
8443,阿瘦,124849,183669,146623,-32.02,-14.85,998065,1118363,-10.75,-
8454,富邦媒,2257480,2280076,1984214,-0.99,13.77,13695167,12458586,9.92,-
1416,廣豐,191986,609508,15493,-68.5,1139.17,3356906,1053934,218.51,"子公司寶豐預售建案完工交屋,本月173,301仟元、累計1-6月3,263,353仟元;去年6月金額為0、去年累計1-6月961,450仟元"
1435,中福,2791,2635,2576,5.92,8.34,12932,14587,-11.34,-
1437,勤益控,42699,56915,52300,-24.97,-18.35,307903,431656,-28.66,-
1516,川飛,55969,53679,2602,4.26,2050.99,324343,104004,211.85,主係積極擴展業務範圍所致
2062,橋椿,485190,466061,580149,4.1,-16.36,3098920,3234075,-4.17,-
2348,海悅,52202,31460,78634,65.93,-33.61,201214,406286,-50.47,係因受整體環境影響，不動產代銷個案銷售不佳，致使營收下降。
2358,廷鑫,185016,131715,125977,40.46,46.86,701329,718825,-2.43,-
2443,億麗,38679,44767,27927,-13.59,38.5,261770,169266,54.65,因大宗物資貿易業務訂單增加致營業收入產生差異。
2496,卓越,10135,15374,6928,-34.07,46.29,92627,55423,67.12,光通訊市場高速成長、網路電信基礎建設升級、有線電視業者大量鋪設光纖光纜，且中國二、三線城市投入高速網路建設光纖需求量增。
2514,龍邦,18037,40502,5304048,-55.46,-99.65,91842,39065315,-99.76,兩期營收差異較大，係因原子公司台壽保於104/10/15(換股基準日)併入中信金，當日起不再為子公司所致。
2904,匯僑,39740,39407,43058,0.84,-7.7,260498,268709,-3.05,-
3040,遠見,17122,16731,17155,2.33,-0.19,107536,112926,-4.77,-
3557,嘉威,46632,44121,43218,5.69,7.89,251476,372880,-32.55,-
4536,拓凱,574159,566369,567600,1.37,1.15,2913383,3135970,-7.09,-
6184,大豐電,139748,132046,138811,5.83,0.67,823214,821829,0.16,-
6464,台數科,246895,244040,253483,1.16,-2.59,1491510,1524695,-2.17,-
