公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,11416657,11201088,9818645,1.92,16.27,116157292,113657139,2.19,-
1102,亞泥,7124072,6884975,5799782,3.47,22.83,70218085,63841631,9.98,-
1103,嘉泥,591641,509527,1034098,16.11,-42.78,4268372,4772948,-10.57,本月營收較去年同期減少，主係去年在建工程完工認列營建工成收入所致。
1104,環泥,516301,477826,445968,8.05,15.77,5276212,4826334,9.32,-
1108,幸福,440515,456920,401176,-3.59,9.8,4869456,4190014,16.21,-
1109,信大,547737,554767,378877,-1.26,44.56,4551240,3661986,24.28,本月營收增加係因大陸子公司銷售水泥數量增加。
1110,東泥,204062,182625,165552,11.73,23.26,2024462,1635000,23.82,-
1201,味全,2087971,2203239,2028959,-5.23,2.9,29458029,26631297,10.61,-
1203,味王,487333,462318,499558,5.41,-2.44,6044465,6111653,-1.09,-
1210,大成,8294173,8425620,7848756,-1.56,5.67,90010470,87522599,2.84,-
1213,大飲,45670,40698,43423,12.21,5.17,720159,725827,-0.78,-
1215,卜蜂,1641025,1467616,1569776,11.81,4.53,18122412,17770683,1.97,-
1216,統一,29721240,30990399,32433387,-4.09,-8.36,420349376,405983556,3.53,-
1217,愛之味,446325,209140,396929,113.4,12.44,4487318,4417373,1.58,-
1218,泰山,622098,612937,769402,1.49,-19.14,9231326,10289833,-10.28,-
1219,福壽,835272,893732,871855,-6.54,-4.19,10522875,10441050,0.78,-
1220,台榮,333580,261494,289676,27.56,15.15,3433713,3660014,-6.18,-
1225,福懋油,1156278,1138165,1397666,1.59,-17.27,14209086,14868448,-4.43,-
1227,佳格,2319207,1699424,1894806,36.47,22.39,20576865,17968938,14.51,-
1229,聯華,462846,507189,427081,-8.74,8.37,5361684,5139634,4.32,-
1231,聯華食,633900,368775,467780,71.89,35.51,5386837,5121637,5.17,-
1232,大統益,1815074,1753388,1558259,3.51,16.48,20047360,19035621,5.31,-
1233,天仁,192067,181869,180071,5.6,6.66,2063652,2045494,0.88,-
1234,黑松,359018,321870,551440,11.54,-34.89,6537812,6858474,-4.67,-
1235,興泰,18867,20596,20817,-8.39,-9.36,250803,319278,-21.44,-
1236,宏亞,367032,237069,286144,54.82,28.26,2685119,2361141,13.72,-
1702,南僑,1230345,1167826,1122822,5.35,9.57,13429197,12041049,11.52,-
