公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,9835143,9875888,9581097,-0.41,2.65,72824494,73908747,-1.46,-
1102,亞泥,5786107,5942364,5494106,-2.62,5.31,43850974,40926309,7.14,-
1103,嘉泥,336088,294781,202149,14.01,66.25,2422858,2872746,-15.66,本月營收較去年同期增加，主係大陸水泥銷貨收入增加所致。
1104,環泥,393203,453397,338855,-13.27,16.03,3311949,3034602,9.13,-
1108,幸福,379115,439572,294049,-13.75,28.92,3133889,2658039,17.9,-
1109,信大,327684,289932,312014,13.02,5.02,2544028,2352222,8.15,-
1110,東泥,154518,184526,114342,-16.26,35.13,1286921,981798,31.07,-
1201,味全,2814226,2831715,2563407,-0.61,9.78,20075996,17876234,12.3,-
1203,味王,543046,527694,525221,2.9,3.39,4164433,4167190,-0.06,-
1210,大成,7697099,7294503,7850869,5.51,-1.95,57217810,57115782,0.17,-
1213,大飲,100332,98809,107341,1.54,-6.52,533172,535174,-0.37,-
1215,卜蜂,1617716,1535031,1687998,5.38,-4.16,11736826,11498875,2.06,-
1216,統一,39507402,39146498,37152484,0.92,6.33,289606422,272872922,6.13,-
1217,愛之味,602052,536326,643789,12.25,-6.48,3155090,3031974,4.06,-
1218,泰山,817096,858924,1023057,-4.86,-20.13,6497469,6861678,-5.3,-
1219,福壽,891943,960546,1002260,-7.14,-11.0,6858630,6890589,-0.46,-
1220,台榮,307597,322204,375538,-4.53,-18.09,2270096,2545221,-10.8,-
1225,福懋油,1210326,1195864,1352955,1.2,-10.54,9552756,9530333,0.23,-
1227,佳格,1952137,1517650,1598390,28.62,22.13,12987446,11329024,14.63,-
1229,聯華,444777,469008,450820,-5.16,-1.34,3494828,3375458,3.53,-
1231,聯華食,463072,512248,497193,-9.6,-6.86,3629864,3484198,4.18,-
1232,大統益,1560434,1637771,1852120,-4.72,-15.74,13062568,12412405,5.23,-
1233,天仁,170820,170402,173409,0.24,-1.49,1341187,1357763,-1.22,-
1234,黑松,764216,748362,745648,2.11,2.49,4706185,4688049,0.38,-
1235,興泰,19205,20309,25234,-5.43,-23.89,169329,217686,-22.21,-
1236,宏亞,175940,172541,198683,1.96,-11.44,1555144,1296971,19.9,-
1702,南僑,1216362,1163292,1111756,4.56,9.4,8713082,7711485,12.98,-
1737,臺鹽,202205,206681,190687,-2.16,6.04,1584631,1518669,4.34,-
1301,台塑,18609714,18160761,16600868,2.47,12.1,143104796,132381224,8.1,-
1303,南亞,29457942,26722335,25052915,10.23,17.58,204479989,203100654,0.67,-
1304,台聚,5173131,5117998,4779950,1.07,8.22,38402803,37384219,2.72,-
1305,華夏,1182094,1235010,1187969,-4.28,-0.49,9607235,9428850,1.89,無
1307,三芳,827206,887116,916527,-6.75,-9.74,6859097,6937379,-1.12,-
1308,亞聚,530310,477431,438979,11.07,20.8,3584568,3469597,3.31,-
1309,台達化,1938920,1945341,1625610,-0.33,19.27,14027806,12073053,16.19,-
1310,台苯,1739894,2006782,1796765,-13.29,-3.16,14313952,12403599,15.4,-
1312,國喬,1971327,2365747,2090408,-16.67,-5.69,17408363,15354261,13.37,-
1313,聯成,3995376,4336770,4624568,-7.87,-13.6,33704193,33300067,1.21,-
1314,中石化,3313253,3023583,3403917,9.58,-2.66,23335703,25814045,-9.6,-
1315,達新,433463,539920,443743,-19.71,-2.31,2388933,2515784,-5.04,-
1321,大洋,554471,512260,483774,8.24,14.61,3901204,3591387,8.62,-
1323,永裕,278414,299287,254862,-6.97,9.24,2171401,2036810,6.6,-
1324,地球,107247,114870,126254,-6.63,-15.05,968553,867571,11.63,-
1325,恆大,89355,96180,88016,-7.09,1.52,703076,680005,3.39,-
1326,台化,38044886,35151128,31757653,8.23,19.79,283592550,265360206,6.87,-
4306,炎洲,1613224,1673953,1688399,-3.62,-4.45,12953108,12706379,1.94,-
1402,遠東新,20803252,19936379,19502085,4.34,6.67,159472995,159637056,-0.1,無
1409,新纖,3690476,4097563,3648561,-9.93,1.14,28755249,28961365,-0.71,-
1410,南染,46203,54759,61031,-15.62,-24.29,399636,451853,-11.55,-
1413,宏洲,416708,415474,278690,0.29,49.52,3194686,2644861,20.78,-
1414,東和,130136,151590,145726,-14.15,-10.69,936492,1003283,-6.65,-
1417,嘉裕,248706,278386,224660,-10.66,10.7,2190810,2137869,2.47,-
1418,東華,232530,183606,198313,26.64,17.25,1285187,1578624,-18.58,-
1419,新紡,98354,50920,52818,93.15,86.21,618926,560995,10.32,-
