公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1101,台泥,10429319,9816025,10654077,6.24,-2.1,99113960,93539547,5.95,-
1102,亞泥,6766999,6506670,6478670,4.0,4.45,64045327,56209038,13.94,-
1103,嘉泥,380730,337047,429783,12.96,-11.41,3198640,3167203,0.99,-
1104,環泥,540324,463181,521445,16.65,3.62,4782650,4282086,11.68,-
1108,幸福,484448,407238,450770,18.95,7.47,4216685,3972021,6.15,-
1109,信大,471768,357704,536767,31.88,-12.1,4100973,3448736,18.91,-
1110,東泥,196402,180353,188902,8.89,3.97,1682159,1637775,2.71,-
1201,味全,1862693,2422226,2448759,-23.09,-23.93,23718888,25166819,-5.75,-
1203,味王,517142,311388,408637,66.07,26.55,5092902,5094814,-0.03,-
1210,大成,8095060,7975042,7951762,1.5,1.8,75783635,73270216,3.43,-
1213,大飲,47978,57141,42159,-16.03,13.8,615832,633791,-2.83,-
1215,卜蜂,1507478,1509859,1608977,-0.15,-6.3,14516236,15013769,-3.31,-
1216,統一,35053086,36661811,34184673,-4.38,2.54,362448511,359637737,0.78,-
1217,愛之味,288753,425251,261488,-32.09,10.42,3798565,3831853,-0.86,-
1218,泰山,716752,820713,731209,-12.66,-1.97,7822135,7996291,-2.17,-
1219,福壽,959206,906692,1063170,5.79,-9.77,8761318,8793872,-0.37,-
1220,台榮,328308,298897,282160,9.83,16.35,2830051,2838639,-0.3,-
1225,福懋油,1121712,1007374,1292061,11.35,-13.18,10272277,11914643,-13.78,-
1227,佳格,1749229,2044921,1467373,-14.45,19.2,17542197,16558234,5.94,-
1229,聯華,467279,430406,466870,8.56,0.08,4380667,4391649,-0.25,-
1231,聯華食,476488,506488,365007,-5.92,30.54,4856685,4384162,10.77,-
1232,大統益,1849207,1847323,1778606,0.1,3.96,18193749,16478898,10.4,-
1233,天仁,172712,168987,160922,2.2,7.32,1780026,1689716,5.34,-
1234,黑松,472697,587848,535119,-19.58,-11.66,5161607,5856924,-11.87,-
1235,興泰,12381,17755,21492,-30.26,-42.39,157986,211340,-25.24,-
1236,宏亞,165886,209475,220710,-20.8,-24.83,1919553,2081018,-7.75,-
1702,南僑,1212814,1333210,1088522,-9.03,11.41,12257978,11031026,11.12,-
1737,臺鹽,219511,224005,208439,-2.0,5.31,2169849,2001865,8.39,-
1301,台塑,17039597,17153480,17556100,-0.66,-2.94,183399326,177035108,3.59,-
1303,南亞,26209539,27086411,26526215,-3.23,-1.19,271785988,257069220,5.72,-
1304,台聚,4661686,5630348,5102128,-17.2,-8.63,51124062,48701357,4.97,-
1305,華夏,1178772,1314360,1187528,-10.31,-0.73,12518847,11904318,5.16,-
1307,三芳,1095341,1023209,984710,7.04,11.23,9433153,8826914,6.86,-
1308,亞聚,422244,462861,581679,-8.77,-27.4,4806232,4706867,2.11,-
1309,台達化,1763333,2003900,1829005,-12.0,-3.59,17676660,17934247,-1.43,-
1310,台苯,989264,1180383,2050356,-16.19,-51.75,15585386,17990541,-13.36,-
1312,國喬,2074559,2041654,2245847,1.61,-7.62,20814099,21883717,-4.88,-
1313,聯成,4095471,4331504,4075495,-5.44,0.49,44241979,42164690,4.92,-
1314,中石化,2675687,2782922,2964454,-3.85,-9.74,28560624,29348964,-2.68,-
1315,達新,250567,271327,269553,-7.65,-7.04,2482525,2931309,-15.31,-
1321,大洋,407462,425663,432027,-4.27,-5.68,4620907,4805049,-3.83,-
1323,永裕,292467,295931,278022,-1.17,5.19,2840307,2722857,4.31,-
1324,地球,122500,112001,134001,9.37,-8.58,1218660,1221984,-0.27,-
1325,恆大,120921,74300,95389,62.74,26.76,934714,874521,6.88,-
1326,台化,29307203,29964048,35616621,-2.19,-17.71,341374094,354329431,-3.65,-
4306,炎洲,1611607,1718975,1734403,-6.24,-7.08,16733471,16303480,2.63,-
1402,遠東新,19188103,20495476,19735696,-6.37,-2.77,195430690,198756095,-1.67,-
1409,新纖,3412522,3216898,3322194,6.08,2.71,35671268,35397897,0.77,-
1410,南染,47990,57451,46579,-16.46,3.02,536810,499962,7.37,-
1413,宏洲,296194,237343,379067,24.79,-21.86,3008559,3935234,-23.54,-
1414,東和,125704,114610,85834,9.67,46.45,1115217,1144181,-2.53,-
