公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,1752202,2072570,2337946,-15.45,-25.05,1752202,2337946,-25.05
1102,亞泥,849543,1006050,870505,-15.55,-2.4,849543,870505,-2.4
1103,嘉泥,71381,84001,186073,-15.02,-61.63,71381,186073,-61.63
1104,環泥,227507,305778,326488,-25.59,-30.31,227507,326488,-30.31
1108,幸福,226636,273250,290613,-17.05,-22.01,226636,290613,-22.01
1109,信大,105552,160548,121737,-34.25,-13.29,105552,121737,-13.29
1110,東泥,115318,173302,127459,-33.45,-9.52,115318,127459,-9.52
1201,味全,1115106,1127058,1110017,-1.06,0.45,1115106,1110017,0.45
1203,味王,177912,181302,187490,-1.86,-5.1,177912,187490,-5.1
1210,大成,1857729,1993411,2047391,-6.8,-9.26,1857729,2047391,-9.26
1213,大飲,82266,51716,62895,59.07,30.79,82266,62895,30.79
1215,卜蜂,1270520,1401975,1335440,-9.37,-4.86,1270520,1335440,-4.86
1216,統一,4079804,3687244,4784154,10.64,-14.72,4079804,4784154,-14.72
1217,愛之味,180185,342088,323491,-47.32,-44.29,180185,323491,-44.29
1218,泰山,586036,695261,623159,-15.7,-5.95,586036,623159,-5.95
1219,福壽,777964,922393,783323,-15.65,-0.68,777964,783323,-0.68
1220,台榮,206418,235559,216950,-12.37,-4.85,206418,216950,-4.85
1225,福懋油,700701,882361,840809,-20.58,-16.66,700701,840809,-16.66
1227,佳格,1242961,1323201,1474833,-6.06,-15.72,1242961,1474833,-15.72
1229,聯華,286114,367752,364717,-22.19,-21.55,286114,364717,-21.55
1231,聯華食,551920,623068,621015,-11.41,-11.12,551920,621015,-11.12
1232,大統益,1187742,1389819,1490420,-14.53,-20.3,1187742,1490420,-20.3
1233,天仁,231366,189696,233783,21.96,-1.03,231366,233783,-1.03
1234,黑松,513396,374715,584521,37.0,-12.16,513396,584521,-12.16
1235,興泰,21042,62232,27678,-66.18,-23.97,21042,27678,-23.97
1236,宏亞,256873,324372,420437,-20.8,-38.9,256873,420437,-38.9
1702,南僑,194107,219141,225061,-11.42,-13.75,194107,225061,-13.75
1737,臺鹽,175294,163466,227778,7.23,-23.04,175294,227778,-23.04
1301,台塑,13394420,13912169,17417871,-3.72,-23.09,13394420,17417871,-23.09
1303,南亞,14821158,16517071,19407090,-10.26,-23.63,14821158,19407090,-23.63
1304,台聚,856707,1012266,1169433,-15.36,-26.74,856707,1169433,-26.74
1305,華夏,588418,719212,713003,-18.18,-17.47,588418,713003,-17.47
1307,三芳,386761,608310,623696,-36.42,-37.98,386761,623696,-37.98
1308,亞聚,359988,454032,583020,-20.71,-38.25,359988,583020,-38.25
1309,台達化,750360,832954,1039914,-9.91,-27.84,750360,1039914,-27.84
1310,台苯,1263762,1272173,1181301,-0.66,6.98,1263762,1181301,6.98
1312,國喬,1473686,1582460,1616402,-6.87,-8.82,1473686,1616402,-8.82
1313,聯成,516018,616531,654071,-16.3,-21.1,516018,654071,-21.1
1314,中石化,3161444,3287396,3309424,-3.83,-4.47,3161444,3309424,-4.47
1315,達新,193633,208156,224616,-6.97,-13.79,193633,224616,-13.79
1321,大洋,276400,377290,459258,-26.74,-39.81,276400,459258,-39.81
1323,永裕,128520,149025,141854,-13.75,-9.39,128520,141854,-9.39
1324,地球,97442,98251,120721,-0.82,-19.28,97442,120721,-19.28
1325,恆大,67405,90591,113219,-25.59,-40.46,67405,113219,-40.46
1326,台化,24236785,20952871,26099195,15.67,-7.13,24236785,26099195,-7.13
4306,炎洲,398659,407259,467326,-2.11,-14.69,398659,467326,-14.69
1402,遠東新,4366612,4989265,5133766,-12.47,-14.94,4366612,5133766,-14.94
1409,新纖,1775653,2309814,2284246,-23.12,-22.26,1775653,2284246,-22.26
1410,南染,18256,29539,26508,-38.19,-31.13,18256,26508,-31.13
1413,宏洲,262743,301243,442506,-12.78,-40.62,262743,442506,-40.62
1414,東和,92361,109709,111153,-15.81,-16.9,92361,111153,-16.9
1417,嘉裕,193137,168604,139731,14.55,38.22,193137,139731,38.22
1418,東華,235020,369480,106221,-36.39,121.25,235020,106221,121.25
1419,新紡,59300,91768,63104,-35.38,-6.02,59300,63104,-6.02
1423,利華,82386,94123,129244,-12.46,-36.25,82386,129244,-36.25
1434,福懋,2743102,2959823,2916966,-7.32,-5.96,2743102,2916966,-5.96
1439,中和,64196,56444,44229,13.73,45.14,64196,44229,45.14
1440,南紡,998992,1408016,1896151,-29.04,-47.31,998992,1896151,-47.31
1441,大東,109219,134007,183979,-18.49,-40.63,109219,183979,-40.63
1443,立益,52325,117348,69090,-55.41,-24.26,52325,69090,-24.26
1444,力麗,911353,1051558,1257716,-13.33,-27.53,911353,1257716,-27.53
1445,大宇,148517,184604,209332,-19.54,-29.05,148517,209332,-29.05
1446,宏和,22879,21983,73309,4.07,-68.79,22879,73309,-68.79
1447,力鵬,2225463,2239308,2031995,-0.61,9.52,2225463,2031995,9.52
1449,佳和,158082,190145,180944,-16.86,-12.63,158082,180944,-12.63
1451,年興,717168,906714,866828,-20.9,-17.26,717168,866828,-17.26
1452,宏益,156464,188598,229044,-17.03,-31.68,156464,229044,-31.68
1453,大將,8289,8142,31950,1.8,-74.05,8289,31950,-74.05
1454,台富,155796,174643,215551,-10.79,-27.72,155796,215551,-27.72
1455,集盛,1454966,1534419,1552820,-5.17,-6.3,1454966,1552820,-6.3
1456,怡華,143313,189980,192893,-24.56,-25.7,143313,192893,-25.7
1457,宜進,424104,440208,480506,-3.65,-11.73,424104,480506,-11.73
1459,聯發,186976,311078,310729,-39.89,-39.82,186976,310729,-39.82
1460,宏遠,478725,582427,427306,-17.8,12.03,478725,427306,12.03
1463,強盛,19767,43592,50182,-54.65,-60.6,19767,50182,-60.6
1464,得力,129861,179363,123681,-27.59,4.99,129861,123681,4.99
1465,偉全,113469,130507,130164,-13.05,-12.82,113469,130164,-12.82
1466,聚隆,520399,494983,596440,5.13,-12.74,520399,596440,-12.74
1467,南緯,308049,330267,216005,-6.72,42.61,308049,216005,42.61
1468,昶和,38000,57768,50180,-34.21,-24.27,38000,50180,-24.27
1470,大統新創,46574,49542,78607,-5.99,-40.75,46574,78607,-40.75
1472,三洋紡,69466,57472,115305,20.86,-39.75,69466,115305,-39.75
1473,台南,715241,800233,721934,-10.62,-0.92,715241,721934,-0.92
1474,弘裕,234544,273532,314409,-14.25,-25.4,234544,314409,-25.4
1475,本盟,18465,10226,41987,80.56,-56.02,18465,41987,-56.02
1476,儒鴻,903802,816577,681954,10.68,32.53,903802,681954,32.53
1477,聚陽,1478989,913311,1475676,61.93,0.22,1478989,1475676,0.22
4414,如興,221235,232788,279718,-4.96,-20.9,221235,279718,-20.9
4426,利勤,39958,55572,47465,-28.09,-15.81,39958,47465,-15.81
1503,士電,1321514,1366545,1448331,-3.29,-8.75,1321514,1448331,-8.75
1504,東元,2007893,2279528,2162319,-11.91,-7.14,2007892,2162319,-7.14
1506,正道,84032,95838,77335,-12.31,8.65,84032,77335,8.65
1507,永大,295555,341580,303240,-13.47,-2.53,295555,303240,-2.53
1513,中興電,634172,516385,548530,22.8,15.61,634172,548530,15.61
1514,亞力,260452,358910,205461,-27.43,26.76,260452,205461,26.76
1515,力山,205036,174676,202164,17.38,1.42,205036,202164,1.42
